slug,title,type,attempts_count,completions_count,question_count,outcome_count,min_options,cover_class,total_images,broken_images,placeholder_images,missing_question_images,missing_outcome_images,duplicate_role,duplicate_of,duplicate_verdict,severity_score,flags
qual-e-o-meu-superpoder,Qual Superpoder Revela o Seu Verdadeiro Jeito de Agir?,PERSONALITY,1,0,12,20,4,ok_unclassified,4,3,3,12,17,,,,9,BROKEN_IMAGES:3|UNRESOLVED_PLACEHOLDER_IMAGES:3
quantas-pessoas-querem-que-voce-morra-descubra-seu-destino,Quantos Inimigos Mortais Você Acumularia em uma Vida de Segredos?,PERSONALITY,0,0,12,20,2,ok_unclassified,30,3,2,3,0,,,,8,ZERO_ATTEMPTS|BROKEN_IMAGES:3|UNRESOLVED_PLACEHOLDER_IMAGES:2
o-que-diz-sua-mensagem-personalizada-de-biscoito-da-sorte-5,Qual Mensagem de Biscoito da Sorte Foi Escrita Para Você?,PERSONALITY,0,0,12,40,2,ok_unclassified,1,0,0,12,40,duplicate,o-que-diz-sua-mensagem-personalizada-de-biscoito-da-sorte,distinct-ish,7,RESULT_NO_DESC:resultado13|RESULT_NO_DESC:resultado14|RESULT_NO_DESC:resultado15|RESULT_NO_DESC:resultado16|RESULT_NO_DESC:resultado17|RESULT_NO_DESC:resultado18|RESULT_NO_DESC:resultado19|RESULT_NO_DESC:resultado20|RESULT_NO_DESC:resultado21|RESULT_NO_DESC:resultado22|RESULT_NO_DESC:resultado23|RESULT_NO_DESC:resultado24|RESULT_NO_DESC:resultado25|RESULT_NO_DESC:resultado26|RESULT_NO_DESC:resultado27|RESULT_NO_DESC:resultado28|RESULT_NO_DESC:resultado29|RESULT_NO_DESC:resultado30|RESULT_NO_DESC:resultado31|RESULT_NO_DESC:resultado32|RESULT_NO_DESC:resultado33|RESULT_NO_DESC:resultado34|RESULT_NO_DESC:resultado35|RESULT_NO_DESC:resultado36|RESULT_NO_DESC:resultado37|RESULT_NO_DESC:resultado38|RESULT_NO_DESC:resultado39|RESULT_NO_DESC:resultado40|ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
qual-personagem-de-gravity-falls-voce-e-descubra-seu-alter-ego,Qual personagem de Gravity Falls combina com seu jeito de enfrentar o estranho?,PERSONALITY,0,0,12,6,4,ok_unclassified,19,2,2,0,0,,,,7,ZERO_ATTEMPTS|BROKEN_IMAGES:2|UNRESOLVED_PLACEHOLDER_IMAGES:2
qual-personagem-de-owl-house-voce-e-quiz-divertido-e-magico,Qual personagem de The Owl House combina com sua magia interior?,PERSONALITY,0,0,10,6,3,ok_unclassified,17,2,2,0,0,,,,7,ZERO_ATTEMPTS|BROKEN_IMAGES:2|UNRESOLVED_PLACEHOLDER_IMAGES:2
conseguimos-adivinhar-seu-personagem-favorito-de-one-piece-quiz-divertido,Qual Personagem de One Piece Combina com Seu Jeito de Ser?,PERSONALITY,0,0,10,6,3,ok_unclassified,17,4,0,0,0,,,,5,ZERO_ATTEMPTS|BROKEN_IMAGES:4
qual-e-o-seu-alinhamento-moral-1,"Qual é o seu alinhamento moral? Descubra onde você cai no mapa do bem, ordem e caos",PERSONALITY,0,0,14,9,3,ok_unclassified,24,0,0,0,0,duplicate,qual-e-o-seu-alinhamento-moral,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
descubra-se-voce-conhece-bem-o-nosso-planeta-5,Você Cai em Mitos Sobre o Planeta ou Sabe o Que Está em Jogo?,PERSONALITY,0,0,10,2,2,ok_unclassified,11,0,0,2,0,duplicate,descubra-se-voce-conhece-bem-o-nosso-planeta,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
qual-e-o-meu-estilo-de-apego-5,Qual é o seu estilo de apego nos relacionamentos?,PERSONALITY,0,0,25,4,2,ok_unclassified,5,0,0,25,0,duplicate,qual-e-o-meu-estilo-de-apego,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
voce-e-kira-ou-l-5,Você Pensaria Como Kira ou Como L em Death Note?,PERSONALITY,0,0,14,2,2,ok_unclassified,17,0,0,0,0,duplicate,voce-e-kira-ou-l,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
qual-e-a-minha-ideologia-politica-5,Onde Você Se Encaixa no Mapa Político? Descubra Seu Quadrante Ideológico,PERSONALITY,0,0,18,4,2,ok_unclassified,1,0,0,18,4,duplicate,qual-e-a-minha-ideologia-politica,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
como-sera-seu-2024-6,Como teria sido o seu 2024?,PERSONALITY,0,0,8,6,4,ok_unclassified,9,0,0,6,0,duplicate,como-sera-seu-2024,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
que-tipo-de-macaco-voce-e-5,Que tipo de macaco combina com sua personalidade mais estranha?,PERSONALITY,0,0,20,12,2,ok_unclassified,30,0,0,3,0,duplicate,que-tipo-de-macaco-voce-e,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
que-criatura-sobrenatural-guarda-seus-sonhos-5,Qual Criatura Sobrenatural Protege Seus Sonhos?,PERSONALITY,0,0,12,6,3,ok_unclassified,10,0,0,9,0,duplicate,que-criatura-sobrenatural-guarda-seus-sonhos,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
descubra-quao-atraente-voce-e-5,Qual é o Seu Nível de Charme? Descubra Como Você Se Apresenta ao Mundo,PERSONALITY,0,0,18,10,3,ok_unclassified,27,0,0,2,0,duplicate,descubra-quao-atraente-voce-e,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
qual-e-o-seu-alinhamento-moral-5,Qual É o Seu Alinhamento Moral? Descubra Onde Você Cai no Mapa Ético,PERSONALITY,0,0,14,9,3,ok_unclassified,24,0,0,0,0,duplicate,qual-e-o-seu-alinhamento-moral,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
em-que-pais-voce-deve-morar-1,Qual país combina com o seu jeito de viver?,PERSONALITY,0,0,10,27,4,ok_unclassified,34,0,0,4,0,duplicate,em-que-pais-voce-deve-morar,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
escolha-entre-flores-e-elas-dirao-o-quao-estiloso-voce-e,Escolha Flores Lindas e Descubra Quanto Seu Estilo Realmente Chama Atenção,PERSONALITY,0,0,10,20,4,ok_unclassified,21,4,0,10,0,,,,5,ZERO_ATTEMPTS|BROKEN_IMAGES:4
qual-personagem-voce-e-1,Qual personagem de Ghost of Tsushima revela seu verdadeiro código de honra?,PERSONALITY,0,0,10,6,2,ok_unclassified,16,0,0,1,0,duplicate,qual-personagem-voce-e,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
qual-e-o-meu-fetiche-descubra-seu-fetiche-sexual-5,Qual Fantasia Íntima Mais Combina com o Seu Perfil?,PERSONALITY,0,0,18,7,3,ok_unclassified,8,0,0,18,0,duplicate,qual-e-o-meu-fetiche-descubra-seu-fetiche-sexual,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
voce-e-mais-acucar-ou-sal-5,"Você Tem Mais Energia de Açúcar, Sal ou Caramelo Salgado?",PERSONALITY,0,0,10,3,4,ok_unclassified,12,0,0,2,0,duplicate,voce-e-mais-acucar-ou-sal,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
qual-casa-voce-deve-escolher-1,Qual casa de Hogwarts escolheria você de verdade?,PERSONALITY,0,0,15,4,2,ok_unclassified,14,0,0,6,0,duplicate,qual-casa-voce-deve-escolher,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
descubra-o-que-as-pessoas-que-voce-acha-atraente-revelam-sobre-voce-5,O Que Seu Tipo de Atração Revela Sobre Você?,PERSONALITY,0,0,29,6,2,ok_unclassified,36,0,0,0,0,duplicate,descubra-o-que-as-pessoas-que-voce-acha-atraente-revelam-sobre-voce,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
quem-e-voce-descubra-seu-arquetipo-6,"Qual Arquétipo Vive em Você: Guerreiro, Poeta ou Rei?",PERSONALITY,0,0,10,3,2,ok_unclassified,13,0,0,1,0,duplicate,quem-e-voce-descubra-seu-arquetipo,distinct-ish,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:distinct-ish
quao-facilmente-voce-se-deixa-seduzir-descubra-seu-perfil-de-seducao-5,Você Cai Fácil no Charme de Alguém?,PERSONALITY,0,0,10,6,4,ok_unclassified,11,0,0,6,0,duplicate,quao-facilmente-voce-se-deixa-seduzir-descubra-seu-perfil-de-seducao,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
qual-classe-voce-deve-escolher-5,Qual Classe de RPG Combina com Seu Estilo de Jogo?,PERSONALITY,0,0,12,5,6,ok_unclassified,18,0,0,0,0,duplicate,qual-classe-voce-deve-escolher,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
qual-pokemon-inicial-voce-deve-escolher-5,Qual inicial de Pokémon combina com você?,PERSONALITY,0,0,15,3,3,ok_unclassified,19,0,0,0,0,duplicate,qual-pokemon-inicial-voce-deve-escolher,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
quem-e-voce-5,"Mago, Cavaleiro ou Trapaceiro: Quem Você Seria em uma Jornada Mística?",PERSONALITY,0,0,10,3,3,ok_unclassified,14,0,0,0,0,duplicate,quem-e-voce,paraphrased,5,ZERO_ATTEMPTS|DUPLICATE:duplicate:paraphrased
qual-celebridade-e-sua-alma-gemea-descubra-seu-par-perfeito,Qual celebridade teria química perfeita com você?,PERSONALITY,0,0,10,6,2,ok_unclassified,9,2,1,8,0,,,,5,ZERO_ATTEMPTS|BROKEN_IMAGES:2|UNRESOLVED_PLACEHOLDER_IMAGES:1
qual-personagem-de-one-piece-e-a-sua-alma-gemea,Quem seria sua alma gêmea em One Piece?,PERSONALITY,0,0,10,6,2,ok_unclassified,16,4,0,1,0,,,,5,ZERO_ATTEMPTS|BROKEN_IMAGES:4
que-raca-de-gato-voce-e,Que Raça de Gato Combina Com a Sua Personalidade?,PERSONALITY,0,0,12,6,3,ok_unclassified,19,3,0,0,0,,,,4,ZERO_ATTEMPTS|BROKEN_IMAGES:3
qual-emoji-assustador-e-a-sua-fantasia-de-halloween-deste-ano,Qual emoji assustador combina com a sua fantasia de Halloween?,PERSONALITY,0,0,12,8,2,ok_unclassified,21,1,1,0,0,,,,4,ZERO_ATTEMPTS|BROKEN_IMAGES:1|UNRESOLVED_PLACEHOLDER_IMAGES:1
este-quiz-de-one-piece-pode-revelar-qual-pirata-do-chapeu-de-palha-seria-seu-melhor-amigo,Qual Chapéu de Palha de One Piece seria seu melhor amigo?,PERSONALITY,0,0,9,6,4,ok_unclassified,16,3,0,0,0,,,,4,ZERO_ATTEMPTS|BROKEN_IMAGES:3
qual-personagem-de-umbrella-academy-voce-e-descubra-com-nosso-quiz,Qual personagem de The Umbrella Academy é você?,PERSONALITY,0,0,9,6,4,ok_unclassified,16,1,1,0,0,,,,4,ZERO_ATTEMPTS|BROKEN_IMAGES:1|UNRESOLVED_PLACEHOLDER_IMAGES:1
internet-das-coisas-iot,Internet das Coisas: você realmente entende como os objetos conectados funcionam?,PERSONALITY,0,0,12,5,4,ausente,0,0,0,12,5,,,,3,ZERO_ATTEMPTS|MISSING_COVER
qual-superpotencia-voce-teria-com-base-na-sua-personalidade,Qual superpoder escondido combina com quem você realmente é?,PERSONALITY,0,0,12,30,2,ok_unclassified,39,2,0,4,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
em-qual-filme-do-studio-ghibli-sua-vida-e-baseada,Qual Filme do Studio Ghibli Espelha a História Secreta da Sua Vida?,PERSONALITY,0,0,10,8,3,ok_unclassified,16,2,0,3,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
6-ano,"Temperatura no 6º ano: você sabe diferenciar calor, energia térmica e sensação?",PERSONALITY,0,0,11,4,4,ausente,0,0,0,11,4,,,,3,ZERO_ATTEMPTS|MISSING_COVER
o-que-diz-sua-mensagem-personalizada-de-biscoito-da-sorte,Abra Seu Biscoito da Sorte e Revele a Mensagem Que Você Precisa Ler Hoje,PERSONALITY,0,0,12,40,2,ok_unclassified,1,0,0,12,40,keeper,o-que-diz-sua-mensagem-personalizada-de-biscoito-da-sorte-5,distinct-ish,3,RESULT_NO_DESC:resultado13|RESULT_NO_DESC:resultado14|RESULT_NO_DESC:resultado15|RESULT_NO_DESC:resultado16|RESULT_NO_DESC:resultado17|RESULT_NO_DESC:resultado18|RESULT_NO_DESC:resultado19|RESULT_NO_DESC:resultado20|RESULT_NO_DESC:resultado21|RESULT_NO_DESC:resultado22|RESULT_NO_DESC:resultado23|RESULT_NO_DESC:resultado24|RESULT_NO_DESC:resultado25|RESULT_NO_DESC:resultado26|RESULT_NO_DESC:resultado27|RESULT_NO_DESC:resultado28|RESULT_NO_DESC:resultado29|RESULT_NO_DESC:resultado30|RESULT_NO_DESC:resultado31|RESULT_NO_DESC:resultado32|RESULT_NO_DESC:resultado33|RESULT_NO_DESC:resultado34|RESULT_NO_DESC:resultado35|RESULT_NO_DESC:resultado36|RESULT_NO_DESC:resultado37|RESULT_NO_DESC:resultado38|RESULT_NO_DESC:resultado39|RESULT_NO_DESC:resultado40|ZERO_ATTEMPTS|DUPLICATE:keeper:distinct-ish
nao-faca-esse-quiz,Não Faça Este Quiz: O Vazio Já Está Esperando por Você,PERSONALITY,0,0,28,4,2,ok_unclassified,24,2,0,9,0,,,,3,POSSIBLE_TRUNCATION|ZERO_ATTEMPTS|BROKEN_IMAGES:2
qual-personagem-da-nintendo-e-voce,Qual ícone da Nintendo parece ter a sua personalidade?,PERSONALITY,0,0,10,15,3,ok_unclassified,16,2,0,10,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
que-personagem-da-sailor-moon-e-voce-descubra-seu-guerreiro-da-lua,Qual Sailor Guardian revela o verdadeiro tipo da sua força?,PERSONALITY,0,0,15,10,3,ok_unclassified,26,2,0,0,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
qual-personagem-de-star-wars-e-sua-alma-gemea,Quem Seria Sua Alma Gêmea em Star Wars?,PERSONALITY,0,0,13,10,3,ok_unclassified,21,2,0,3,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
qual-personagem-do-super-mario-voce-e-descubra-com-nosso-quiz,Qual personagem de Super Mario você seria no Reino Cogumelo?,PERSONALITY,0,0,12,8,2,ok_unclassified,18,2,0,3,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
qual-personagem-de-the-legend-of-zelda-voce-e-descubra-no-quiz,Qual personagem de The Legend of Zelda combina com sua alma aventureira?,PERSONALITY,0,0,12,6,2,ok_unclassified,17,2,0,2,0,,,,3,ZERO_ATTEMPTS|BROKEN_IMAGES:2
voce-e-mais-esperto-que-um-homem-das-cavernas,Você Sobreviveria Como um Homem das Cavernas?,PERSONALITY,0,0,11,6,2,ok_unclassified,16,1,0,2,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-carater-animico-sou-eu-descubra-seu-personagem-de-anime,Qual Personagem de Anime Tem a Mesma Energia que Você?,PERSONALITY,0,0,12,12,2,ok_unclassified,17,1,0,8,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
o-que-voce-tem-de-apaixonado-descubra-sua-paixao,Qual Paixão Realmente Move Você por Dentro?,PERSONALITY,0,0,15,10,2,ok_unclassified,25,1,0,1,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
seus-valores-podem-determinar-sua-superpotencia-secreta-qual-e-a-sua,Qual superpoder secreto revela a força que existe em você?,PERSONALITY,0,0,10,30,2,ok_unclassified,31,1,0,10,0,,,,2,POSSIBLE_TRUNCATION|ZERO_ATTEMPTS|BROKEN_IMAGES:1
mostre-nos-o-seu-eu-super-heroi-e-descubra-seu-ajudante-celebridade-perfeito,Monte seu alter ego de super-herói e descubra qual celebridade seria seu parceiro ideal,PERSONALITY,0,0,9,8,2,ok_unclassified,12,1,0,6,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-personagem-de-winnie-the-pooh-voce-e-descubra-com-nosso-quiz,Qual morador do Bosque dos Cem Acres vive no seu coração?,PERSONALITY,0,0,10,6,4,ok_unclassified,16,1,0,1,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-celebridade-namoraria-com-voce-descubra-seu-par-perfeito,Qual celebridade seria seu par perfeito?,PERSONALITY,0,0,10,12,3,ok_unclassified,22,1,0,1,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
conte-nos-alguns-segredinhos-picantes-sobre-voce-e-revelaremos-qual-celebridade-sairia-com-voce,Revele seus segredinhos e descubra qual celebridade daria match com você,PERSONALITY,0,0,10,6,2,ok_unclassified,11,1,0,6,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-personagem-voce-e-descubra-com-nosso-quiz,Qual personagem de One Piece combina com sua personalidade?,PERSONALITY,0,0,10,10,2,ok_unclassified,20,1,0,1,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-personagem-de-animal-crossing-voce-e-descubra-com-este-quiz,Qual personagem de Animal Crossing combina com seu jeito de jogar?,PERSONALITY,0,0,12,6,3,ok_unclassified,17,1,0,2,0,,,,2,POSSIBLE_TRUNCATION|ZERO_ATTEMPTS|BROKEN_IMAGES:1
suas-escolhas-do-dia-a-dia-podem-revelar-qual-personagem-de-videogame-voce-mais-se-parece,Qual personagem icônico dos videogames combina com suas escolhas do dia a dia?,PERSONALITY,0,0,10,6,4,ok_unclassified,9,1,0,8,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
conseguimos-adivinhar-seu-personagem-de-anime-favorito-quiz-divertido-e-interativo,Qual Personagem de Anime Combina com Sua Personalidade?,PERSONALITY,0,0,10,6,2,ok_unclassified,17,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quantos-socos-de-um-gorila-voce-poderia-aguentar,Quantos socos de um gorila você aguentaria? O resultado pode humilhar você,PERSONALITY,0,0,12,6,3,ok_unclassified,19,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quao-animado-voce-esta-para-o-gta-vi-descubra-com-nosso-quiz,Seu hype para GTA VI está no máximo ou você nem caiu nessa ainda?,PERSONALITY,0,0,8,4,3,ok_unclassified,10,1,0,3,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
como-seu-gato-planeja-sua-morte-descubra-com-este-quiz,Qual Plano Dramático Seu Gato Usaria Para Tomar o Controle da Sua Vida?,PERSONALITY,0,0,15,12,4,ok_unclassified,27,1,0,1,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
sou-aromatico-teste-para-descobrir-sua-identidade-romantica,"Você é arromântico, romântico ou está em algum lugar entre os dois?",PERSONALITY,0,0,15,4,3,ok_unclassified,20,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quais-sao-seus-turn-ons-secretos-descubra-seus-desejos-com-nosso-teste-de-personalidade,Qual tipo de atração secreta mais mexe com você?,PERSONALITY,0,0,10,6,4,ok_unclassified,11,1,0,6,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-animal-sou-eu-descubra-seu-animal-interior,Qual animal revela seu instinto secreto?,PERSONALITY,0,0,12,12,2,ok_unclassified,21,1,0,4,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
o-que-sou-eu-descubra-quem-voce-e-com-este-quiz-de-memes,Qual Meme Absurdo Mora Dentro de Você?,PERSONALITY,0,0,20,12,2,ok_unclassified,31,1,0,2,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
estas-20-perguntas-revelam-qual-personagem-de-anime-voce-e,Responda 19 perguntas e descubra qual personagem de anime tem a sua energia,PERSONALITY,0,0,19,66,6,ok_unclassified,86,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quantos-bebes-poderiam-ser-derrotados-em-uma-briga-quiz-divertido,Quantos Bebês Zumbis de Desenho Você Sobreviveria em uma Simulação Absurda?,PERSONALITY,0,0,13,20,3,ok_unclassified,34,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-criatura-mitica-seria-seu-colega-de-quarto-ideal,Qual criatura mítica seria seu colega de quarto perfeito?,PERSONALITY,0,0,11,14,2,ok_unclassified,23,1,0,3,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
sou-um-sociopata-descubra-agora,Você Tem Um Lado Frio? Descubra Seu Nível de Distanciamento Emocional,PERSONALITY,0,0,10,10,4,ok_unclassified,21,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-inseto-sou-eu,Qual inseto revela o lado mais secreto da sua personalidade?,PERSONALITY,0,0,15,13,2,ok_unclassified,25,1,0,4,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-caminho-de-vida-voce-deve-escolher-no-cyberpunk-2077,Qual origem de Cyberpunk 2077 revela seu verdadeiro lugar em Night City?,PERSONALITY,1,0,9,3,2,ok_unclassified,9,2,0,1,3,,,,2,BROKEN_IMAGES:2
vibracoes-de-vice-city-quao-bem-voce-conhece-vice-city,Você realmente conhece Vice City e GTA VI?,PERSONALITY,0,0,8,4,4,ok_unclassified,13,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quantas-aranhas-voce-ja-comeu-em-sua-vida-descubra-com-nosso-quiz,Quantas aranhas você já comeu sem perceber? Faça o quiz e descubra,PERSONALITY,0,0,15,20,2,ok_unclassified,36,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-tipo-de-personagem-lego-voce-seria-descubra-com-nosso-quiz-divertido,Qual personagem LEGO combina com a sua personalidade?,PERSONALITY,0,0,10,6,4,ok_unclassified,17,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-e-o-meu-nome-de-rap,Qual Nome de Rap Combina com Sua Persona de Palco?,PERSONALITY,0,0,10,30,3,ok_unclassified,38,1,0,3,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
quando-voce-vai-se-casar-quiz-divertido,Quando Você Vai se Casar? Descubra o Que Sua Vida Amorosa Revela,PERSONALITY,0,0,15,8,2,ok_unclassified,16,1,0,8,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
avalie-estas-declaracoes-e-revelaremos-qual-criatura-mitica-seria-seu-animal-de-estimacao-ideal,Qual criatura mítica seria o seu pet perfeito?,PERSONALITY,0,0,20,30,6,ok_unclassified,51,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
o-questionario-pottermore-sorting-hat-quiz-para-criancas,Qual Casa de Hogwarts Combina com Você? Um Quiz do Chapéu Seletor para Crianças,PERSONALITY,0,0,8,4,4,ok_unclassified,12,1,0,1,0,,,,2,POSSIBLE_TRUNCATION|ZERO_ATTEMPTS|BROKEN_IMAGES:1
que-tipo-de-dere-voce-e,Qual tipo de Dere você seria em um anime romântico?,PERSONALITY,0,0,15,5,3,ok_unclassified,19,1,0,2,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-bojack-horseman-e-voce-teste-de-personalidade,Qual personagem de BoJack Horseman revela seu lado mais honesto?,PERSONALITY,0,0,15,8,3,ok_unclassified,24,1,0,0,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-personagem-de-dragon-ball-e-sua-alma-gemea,Qual personagem de Dragon Ball seria sua alma gêmea?,PERSONALITY,0,0,10,6,2,ok_unclassified,14,1,0,3,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-pokemon-lendario-voce-e-descubra-seu-pokemon-lendario-interior,Qual Pokémon lendário vive dentro de você?,PERSONALITY,0,0,12,8,4,ok_unclassified,19,1,0,2,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
qual-jogo-do-nintendo-switch-voce-deve-jogar-a-seguir,Qual jogo do Nintendo Switch combina com sua próxima obsessão?,PERSONALITY,0,0,8,6,4,ok_unclassified,7,1,0,8,0,,,,2,ZERO_ATTEMPTS|BROKEN_IMAGES:1
